# DOE Placement Export
# Generated:,2025-12-12 02:52:24
# Source Part ID:,4
# Source Center:,"x=22.000, y=41.000, z=-1.350"
# Max Displacement:,20.0 mm
"# Feasible Bounds (dx_min, dx_max, dy_min, dy_max):","40.00, 42.00, 21.00, 61.00"
# Valid Placements:,20/20

Option,dx (mm),dy (mm),Valid,New_X,New_Y,New_Z,Score,Collision_Parts
1,18.235,-4.160,Yes,40.235,36.840,-1.350,19.779,
2,18.554,-3.032,Yes,40.554,37.968,-1.350,19.670,
3,19.129,-1.832,Yes,41.129,39.168,-1.350,19.858,
4,19.866,1.574,Yes,41.866,42.574,-1.350,19.959,
5,18.795,0.038,Yes,40.795,41.038,-1.350,19.111,
6,19.170,0.842,Yes,41.170,41.842,-1.350,19.353,
7,19.034,-2.758,Yes,41.034,38.242,-1.350,20.036,
8,19.515,-2.441,Yes,41.515,38.559,-1.350,20.399,
9,18.091,7.538,Yes,40.091,48.538,-1.350,18.121,
10,18.370,-4.241,Yes,40.370,36.759,-1.350,19.934,
11,18.326,-5.149,Yes,40.326,35.851,-1.350,20.264,
12,18.038,-7.528,Yes,40.038,33.472,-1.350,21.142,
13,19.155,5.108,Yes,41.155,46.108,-1.350,19.206,
14,18.555,4.987,Yes,40.555,45.987,-1.350,18.614,
15,18.620,3.524,Yes,40.620,44.524,-1.350,18.620,
16,18.659,-0.004,Yes,40.659,40.996,-1.350,18.985,
17,19.956,-1.051,Yes,41.956,39.949,-1.350,20.468,
18,19.773,1.854,Yes,41.773,42.854,-1.350,19.842,
19,19.601,3.058,Yes,41.601,44.058,-1.350,19.606,
20,19.320,-3.780,Yes,41.320,37.220,-1.350,20.646,
